Score;Pair;Time;Strategy;Threshold Open;Threshold Close;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;
-3,08030000000001;USDJPY;744;SSIStrategy;0,31;0,15;True;3;-3,08000000000001;-3,08000000000001;0,666666666666667;0,333333333333333;-1,02666666666667;-0,0993548387096778;0,0967741935483871;0,333333333333333;7092;
-12,6133999999995;USDJPY;744;SSIStrategy;0,01;0,19;True;3034;-12,3099999999995;-12,3099999999995;0,999670402109426;0,00922874093605801;-0,00405735003295963;-0,397096774193533;97,8709677419355;0,25;20;
-6,27180000000001;USDJPY;744;SSIStrategy;0,13;0,05;True;18;-6,27000000000001;-6,27000000000001;0,5;0,166666666666667;-0,348333333333334;-0,202258064516129;0,580645161290323;0,142857142857143;2011;
-5,73390000000015;USDJPY;744;SSIStrategy;0,19;0,27;True;439;-5,69000000000015;-5,69000000000015;0,997722095671982;0,0159453302961276;-0,012961275626424;-0,183548387096779;14,1612903225806;0;142;
-4,88469999999896;USDJPY;744;SSIStrategy;0,18;0,23;False;3247;-4,55999999999896;-5,57999999999916;1;0,0172466892516169;-0,00140437326763134;-0,147096774193515;104,741935483871;0,428571428571429;7;
0,140100000000457;USDJPY;744;SSIStrategy;0,11;0,28;False;1699;0,310000000000457;-2,20999999999962;1;0,0270747498528546;0,000182460270747768;0,0100000000000147;54,8064516129032;0,5;19;
-0,780199999999173;USDJPY;744;SSIStrategy;0,02;0,27;False;2302;-0,549999999999173;-2,96999999999932;1;0,0152041702867072;-0,000238922675933611;-0,0177419354838443;74,258064516129;0,571428571428571;15;
-1,16999999999919;USDJPY;744;SSIStrategy;0,15;0,26;False;2300;-0,939999999999188;-3,35999999999933;1;0,0147826086956522;-0,00040869565217356;-0,0303225806451351;74,1935483870968;0,6;10;
-21,9675999999991;USDJPY;744;SSIStrategy;0,07;0,1;True;5876;-21,3799999999991;-21,3799999999991;0,999829816201498;0,00765827093260722;-0,00363852961198079;-0,689677419354811;189,548387096774;0;8;
-4,4102;USDJPY;744;SSIStrategy;0,2;0,23;True;2;-4,41;-4,41;0,5;0;-2,205;-0,142258064516129;0,0645161290322581;0;22131;
-4,59060000000002;USDJPY;744;SSIStrategy;0,2;0,16;True;6;-4,59000000000002;-4,59000000000002;0,333333333333333;0,166666666666667;-0,765000000000003;-0,148064516129033;0,193548387096774;0,25;5750;
-5,99160000000004;USDJPY;744;SSIStrategy;0,18;0,02;True;16;-5,99000000000004;-5,99000000000004;0,5625;0,125;-0,374375000000002;-0,193225806451614;0,516129032258065;0,142857142857143;1992;
-21,8572999999991;USDJPY;744;SSIStrategy;0,08;0,1;True;5873;-21,2699999999991;-21,2699999999991;0,999829729269539;0,00732164140984165;-0,00362165843691455;-0,686129032258037;189,451612903226;0;8;
2,0598;USDJPY;744;SSIStrategy;0,35;0,26;False;2;2,06;-0,75;0,5;0,5;1,03;0,0664516129032259;0,0645161290322581;0,5;17606;
-10,6100999999996;USDJPY;744;SSIStrategy;0,07;0,2;True;2401;-10,3699999999996;-10,3699999999996;0,999583506872137;0,0137442732194919;-0,0043190337359432;-0,334516129032246;77,4516129032258;0,142857142857143;26;
-6,11170000000003;USDJPY;744;SSIStrategy;0,15;0,06;True;17;-6,11000000000003;-6,11000000000003;0,529411764705882;0,176470588235294;-0,359411764705884;-0,197096774193549;0,548387096774194;0,142857142857143;2112;
-14,2813999999989;USDJPY;744;SSIStrategy;0,16;0,18;False;4914;-13,7899999999989;-13,7899999999989;0,9997964997965;0,0166870166870167;-0,00280626780626758;-0,444838709677384;158,516129032258;0,333333333333333;10;
-5,52650000000017;USDJPY;744;SSIStrategy;0,17;0,3;True;365;-5,49000000000017;-5,49000000000017;0,997260273972603;0,0164383561643836;-0,0150410958904114;-0,177096774193554;11,7741935483871;0,333333333333333;172;
-3,44039999999998;USDJPY;744;SSIStrategy;0,3;0,08;True;4;-3,43999999999998;-3,43999999999998;0,75;0,25;-0,859999999999996;-0,110967741935483;0,129032258064516;0,333333333333333;4693;
-5,48180000000005;USDJPY;744;SSIStrategy;0,15;0,02;True;18;-5,48000000000005;-5,48000000000005;0,5;0,222222222222222;-0,304444444444447;-0,176774193548389;0,580645161290323;0,222222222222222;1888;
-2,10019999999999;USDJPY;744;SSIStrategy;0,35;0,34;True;2;-2,09999999999999;-2,09999999999999;0,5;0,5;-1,05;-0,0677419354838708;0,0645161290322581;0,5;17615;
-13,2280999999989;USDJPY;744;SSIStrategy;0;0,16;False;5781;-12,6499999999989;-12,6999999999989;1;0,0143573776163294;-0,00218820273309098;-0,408064516128998;186,483870967742;0,416666666666667;3;
-3,73030000000002;USDJPY;744;SSIStrategy;0,25;0,19;True;3;-3,73000000000002;-3,73000000000002;0,666666666666667;0,333333333333333;-1,24333333333334;-0,120322580645162;0,0967741935483871;0,333333333333333;10381;
2,0064000000003;USDJPY;744;SSIStrategy;0,15;0,33;False;836;2,0900000000003;-0,169999999999717;1;0,0334928229665072;0,00250000000000036;0,0674193548387194;26,9677419354839;0,75;32;
-2,26019999999999;USDJPY;744;SSIStrategy;0,28;0,27;True;2;-2,25999999999999;-2,25999999999999;0,5;0,5;-1,13;-0,0729032258064513;0,0645161290322581;0,5;21657;
