Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;hitsl;hittp;hitto;
0;EURUSD;-449;FastMovement-Strategy;140;28;0,31;0,27;0,18;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;22;0,21;0,03;0,37;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;24;0,67;0,13;0,14;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;110;20;0,17;0,37;0,07;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;16;0,65;0,15;0,07;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;22;0,22;0,12;0,18;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;12;0,53;0,36;0,26;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;13;0,18;0,17;0,36;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;5;0,53;0,12;0,41;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;18;0,5;0,31;0,31;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;3;0,04;0,37;0,2;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;8;0,02;0,22;0,33;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;8;0,68;0,12;0,14;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;110;27;0,7;0,18;0,26;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;27;0,1;0,36;0,13;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;17;0,36;0,17;0,16;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;22;0,54;0,09;0,3;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;20;0,35;0,18;0,15;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;3;0,33;0,35;0,05;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;170;13;0,45;0,21;0,13;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;14;0,61;0,4;0,19;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;25;0,17;0,36;0,22;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;9;0,34;0,39;0,27;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;5;0,4;0,12;0,22;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;25;0,51;0,18;0,14;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;9;0,33;0,37;0,3;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;24;0,69;0,24;0,39;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;7;0,38;0,28;0,25;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;3;0,33;0,09;0,37;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;13;0,49;0,38;0,1;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;1;0,06;0,38;0,07;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;24;0,5;0,24;0,18;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;40;28;0,54;0,31;0,16;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;10;0,68;0,21;0,07;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;21;0,28;0,04;0,04;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;5;0,52;0,19;0,4;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;190;21;0,27;0,33;0,28;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;10;0,32;0,22;0,07;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;8;0,31;0,4;0,02;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;3;0,36;0,14;0,05;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;21;0,22;0,17;0,36;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;23;0,5;0,21;0,34;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;180;24;0,39;0,39;0,39;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;11;0,33;0,39;0,17;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;170;20;0,34;0,24;0,41;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;16;0,36;0,09;0,02;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;20;0,09;0,11;0,36;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;190;12;0,28;0,07;0,37;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;170;22;0,33;0,2;0,33;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;23;0,49;0,04;0,18;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;22;0,65;0,34;0,11;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;190;17;0,53;0,16;0,3;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;27;0,31;0,05;0,18;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;15;0,27;0,32;0,02;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;9;0,56;0,04;0,04;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;16;0,07;0,2;0,2;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;26;0,08;0,04;0,28;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;5;0,52;0,34;0,2;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;180;23;0,69;0,15;0,03;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;11;0,43;0,29;0,08;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;12;0,45;0,39;0,3;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;130;28;0,02;0,17;0,22;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
