Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hitsl;hittp;hitto
0,0077;EURUSD;168;FastMovement-Strategy;40;24;0,22;0,29;0,11;TRUE;9;0,0086;-0,0002;0;0,444444444;0,000955556;0,001228571;1,285714286;33;3;2;4
0,0077;EURUSD;168;FastMovement-Strategy;20;18;0,27;0,07;0,21;TRUE;6;0,0083;0;0;0,666666667;0,001383333;0,001185714;0,857142857;19;0;2;4
0,0077;EURUSD;168;FastMovement-Strategy;60;29;0,25;0,16;0,28;TRUE;6;0,0083;-0,0003;0;0,333333333;0,001383333;0,001185714;0,857142857;54;0;2;4
0,0077;EURUSD;168;FastMovement-Strategy;160;11;0,23;0,14;0,13;TRUE;7;0,0084;0,0041;0,142857143;0,714285714;0,0012;0,0012;1;34;2;4;1
0,0077;EURUSD;168;FastMovement-Strategy;80;23;0,22;0,22;0,39;TRUE;10;0,0087;-1,00E-04;0;0,5;0,00087;0,001242857;1,428571429;65;0;3;7
0,0077;EURUSD;168;FastMovement-Strategy;130;19;0,61;0,32;0,32;TRUE;2;0,0079;0,0043;0;1;0,00395;0,001128571;0,285714286;38;0;2;0
0,0077;EURUSD;168;FastMovement-Strategy;150;19;0,55;0,39;0,31;TRUE;2;0,0079;0,0052;0;1;0,00395;0,001128571;0,285714286;86;0;1;1
0,0077;EURUSD;168;FastMovement-Strategy;120;16;0,35;0,31;0,25;TRUE;2;0,0079;0,0041;0;1;0,00395;0,001128571;0,285714286;63;0;2;0
0,0077;EURUSD;168;FastMovement-Strategy;170;10;0,38;0,33;0,37;TRUE;2;0,0079;0,0052;0;1;0,00395;0,001128571;0,285714286;97;0;1;1
0,0077;EURUSD;168;FastMovement-Strategy;20;29;0,3;0,3;0,17;TRUE;3;0,008;0,0042;0;1;0,002666667;0,001142857;0,428571429;31;0;0;3
0,0077;EURUSD;168;FastMovement-Strategy;30;28;0,31;0,12;0,32;TRUE;4;0,0081;0,0048;0;1;0,002025;0,001157143;0,571428571;27;0;1;3
0,0077;EURUSD;168;FastMovement-Strategy;80;27;0,33;0,16;0,17;TRUE;4;0,0081;0,0039;0;1;0,002025;0,001157143;0,571428571;43;0;3;1
0,0077;EURUSD;168;FastMovement-Strategy;60;6;0,19;0,34;0,24;TRUE;6;0,0083;0,0004;0;0,833333333;0,001383333;0,001185714;0,857142857;44;0;2;4
0,0077;EURUSD;168;FastMovement-Strategy;100;13;0,36;0,26;0,32;TRUE;2;0,0079;0,0045;0;1;0,00395;0,001128571;0,285714286;58;0;2;0
0,0077;EURUSD;168;FastMovement-Strategy;110;24;0,52;0,1;0,38;TRUE;3;0,008;0,0052;0;1;0,002666667;0,001142857;0,428571429;45;0;3;0
0,0077;EURUSD;168;FastMovement-Strategy;100;26;0,55;0,09;0,3;TRUE;3;0,008;0,0053;0;1;0,002666667;0,001142857;0,428571429;42;0;3;0
0,0076;EURUSD;168;FastMovement-Strategy;90;11;0,19;0,04;0,05;TRUE;12;0,0088;0,0007;0,166666667;0,666666667;0,000733333;0,001257143;1,714285714;8;4;8;0
0,0076;EURUSD;168;FastMovement-Strategy;90;22;0,17;0,34;0,09;TRUE;23;0,0099;-0,0022;0,347826087;0,347826087;0,000430435;0,001414286;3,285714286;48;15;3;5
0,0076;EURUSD;168;FastMovement-Strategy;60;19;0,24;0,31;0,24;TRUE;6;0,0082;-0,0002;0;0,5;0,001366667;0,001171429;0,857142857;50;0;2;4
0,0076;EURUSD;168;FastMovement-Strategy;190;4;0,15;0,17;0,22;TRUE;7;0,0083;-1,00E-04;0;0,571428571;0,001185714;0,001185714;1;48;2;4;1
0,0076;EURUSD;168;FastMovement-Strategy;170;17;0,35;0,33;0,05;TRUE;2;0,0078;0,0041;0;1;0,0039;0,001114286;0,285714286;62;0;2;0
0,0076;EURUSD;168;FastMovement-Strategy;170;24;0,6;0,31;0,39;TRUE;2;0,0078;0,0052;0;1;0,0039;0,001114286;0,285714286;97;0;1;1
0,0076;EURUSD;168;FastMovement-Strategy;190;17;0,42;0,37;0,25;TRUE;2;0,0078;0,0044;0;1;0,0039;0,001114286;0,285714286;110;0;1;1
0,0076;EURUSD;168;FastMovement-Strategy;60;21;0,59;0,38;0,29;TRUE;2;0,0078;0,0043;0;1;0,0039;0,001114286;0,285714286;41;0;1;1
0,0076;EURUSD;168;FastMovement-Strategy;190;27;0,38;0,22;0,41;TRUE;3;0,0079;0,0027;0;1;0,002633333;0,001128571;0,428571429;89;0;3;0
0,0076;EURUSD;168;FastMovement-Strategy;130;14;0,3;0,38;0,03;TRUE;3;0,0079;0,0037;0;0,666666667;0,002633333;0,001128571;0,428571429;47;1;2;0
0,0076;EURUSD;168;FastMovement-Strategy;80;12;0,33;0,26;0,32;TRUE;3;0,0079;0,0045;0;1;0,002633333;0,001128571;0,428571429;54;0;2;1
0,0076;EURUSD;168;FastMovement-Strategy;20;29;0,32;0,28;0,26;TRUE;4;0,008;0,0042;0;1;0,002;0,001142857;0,571428571;27;0;0;4
0,0076;EURUSD;168;FastMovement-Strategy;10;22;0,23;0,17;0,29;TRUE;8;0,0084;1,00E-04;0;0,625;0,00105;0,0012;1,142857143;15;0;1;7
