Score;Pair;Time;Strategy;Threshold Open;Threshold Close;Follow Trend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;holdtime/positions;
-0,0171000000000002;EURUSD;912;SSIStrategy;0,3;0,15;True;5;-0,0166000000000002;-0,0212000000000001;0,8;0,4;-0,00332000000000003;-0,000436842105263162;0,131578947368421;0,4;-0,00840000000000004;0,00429999999999997;-0,00332000000000003;0,000299999999999967;0,00618438894852725;0,00785452735688148;9353;
-3,1203;USDJPY;912;SSIStrategy;0,35;0,11;True;3;-3,12;-3,12;0,666666666666667;0,333333333333333;-1,04;-0,0821052631578948;0,0789473684210526;0,333333333333333;-1,755;0,390000000000001;-1,04;0;0,925000000000004;1,26208821667373;9139;
-0,243099999999999;USDCHF;912;SSIStrategy;0;0,48;False;1686;-0,0744999999999992;-0,118899999999999;1;0,0029655990510083;-4,41874258600233E-05;-0,00196052631578945;44,3684210526316;0;-0,000108446866485013;0,00898000000000001;-6,73598553345382E-05;0,0177100423489048;0,000201022463942983;0,0013527320459148;32;
-0,2663;EURUSD;912;SSIStrategy;0,22;0,22;False;2042;-0,0620999999999996;-0,1118;0,99951028403526;0,000489715964740451;-3,04113614103818E-05;-0,00163421052631578;53,7368421052632;0,5;-0,000103518518518518;0,0497000000000001;-5,74468085106379E-05;0;1,98752971007253E-05;0,0015142012158565;26;
0,0697000000000001;EURUSD;912;SSIStrategy;0,46;0,42;False;1;0,0698000000000001;0;0;1;0,0698000000000001;0,00183684210526316;0,0263157894736842;1;n. def.;0,0698000000000001;0,0698000000000001;0;n. def.;0;43395;
0,0408000000000004;EURUSD;912;SSIStrategy;0,3;0,37;False;22;0,0430000000000004;-0,00669999999999971;0,954545454545455;0,0909090909090909;0,00195454545454547;0,00113157894736843;0,578947368421053;0,5;-0,000833333333333316;0,0252500000000001;0,00390909090909094;0,02445;0,00207417989148052;0,0146088674531759;3146;
-0,0709999999999993;GBPUSD;912;SSIStrategy;0,13;0,04;False;86;-0,0623999999999993;-0,0626999999999993;0,790697674418605;0,290697674418605;-0,00072558139534883;-0,00164210526315788;2,26315789473684;0,384615384615385;-0,00282857142857142;0,00225600000000001;-0,00093134328358208;0,00178327339463133;0,00639088956153643;0,00573036449975627;556;
0;USDJPY;912;SSIStrategy;0,46;0,5;False;0;0;0;n. def.;n. def.;n. def.;0;0;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;
-0,0225000000000003;EURUSD;912;SSIStrategy;0,3;0,06;True;7;-0,0218000000000003;-0,0267000000000002;0,857142857142857;0,285714285714286;-0,00311428571428575;-0,000573684210526323;0,184210526315789;0,2;-0,00578000000000003;0,00354999999999994;-0,00311428571428575;0,00134999999999996;0,00588673084147725;0,00656036335479509;5640;
-26,7309999999966;USDJPY;912;SSIStrategy;0,22;0,29;False;11510;-25,5799999999966;-25,5799999999966;1;0,0052128583840139;-0,00222241529105096;-0,673157894736753;302,894736842105;0,4;-0,010861833105334;0,103;-0,00857238605898009;0,260527029947631;0,0128846850809641;0,0422241813358297;3;
-1,29179999999935;USDJPY;912;SSIStrategy;0,3;0,38;False;1518;-1,13999999999935;-2,95999999999934;1;0,0105401844532279;-0,00075098814229206;-0,0299999999999828;39,9473684210526;0,5;-0,0100833333333315;0,155625000000001;-0,00303191489361528;0,444282690834335;0,0015789412767918;0,0975735349678401;15;
-13,3768999999938;GBPUSD;912;SSIStrategy;0,06;0,08;False;78243;-5,55259999999381;-5,55339999999381;0,999987219303963;0,00154646422044145;-7,09660928133355E-05;-0,146121052631416;2059,02631578947;0;-0,00012439083874673;0,000477685950413222;-0,000122779939854807;0,000758149945188543;0,000102395496863227;0,000113850645321642;0;
-0,0299000000000001;EURUSD;912;SSIStrategy;0,42;0,29;True;2;-0,0297000000000001;-0,03;1;0,5;-0,01485;-0,000781578947368423;0,0526315789473684;0,5;-0,03;0,000299999999999967;-0,01485;0;0;0,01515;7762;
-0,0459000000000004;GBPUSD;912;SSIStrategy;0,37;0,09;False;8;-0,0451000000000004;-0,0451000000000004;0,375;0,25;-0,00563750000000005;-0,00118684210526317;0,210526315789474;0,166666666666667;-0,00838333333333337;0,00259999999999994;-0,00563750000000005;0,000799999999999912;0,00804247405273338;0,00844333131826535;1837;
-0,0281;EURUSD;912;SSIStrategy;0,42;0,2;True;2;-0,0279;-0,0282;1;0,5;-0,01395;-0,00073421052631579;0,0526315789473684;0,5;-0,0282;0,000299999999999967;-0,01395;0;0;0,01425;7720;
-0,640200000000001;USDJPY;912;SSIStrategy;0,42;0,3;True;2;-0,640000000000001;-0,640000000000001;0,5;0,5;-0,32;-0,0168421052631579;0,0526315789473684;0,5;-1,94;1,3;-0,32;0;0;1,62;20038;
1,3798;USDJPY;912;SSIStrategy;0,38;0,18;False;2;1,38;-0,290000000000006;0,5;0,5;0,689999999999998;0,0363157894736841;0,0526315789473684;0,5;-0,290000000000006;1,67;0,689999999999998;0;0;0,980000000000004;13908;
-0,243399999999998;GBPUSD;912;SSIStrategy;0,04;0,45;True;1737;-0,0696999999999979;-0,0696999999999979;1;0,00402993667242372;-4,01266551525607E-05;-0,00183421052631573;45,7105263157895;0,5;-0,00011593341260404;0,00397142857142858;-8,21933962264126E-05;0,00576608663670959;0,000427456170815224;0,00076969511260725;30;
0,0616999999999999;GBPUSD;912;SSIStrategy;0,17;0,06;True;39;0,0655999999999999;0;0,58974358974359;0,333333333333333;0,00168205128205128;0,00172631578947368;1,02631578947368;0,8;-0,00156666666666665;0,0079384615384615;0,00177297297297297;0,00914090876323313;0,00173605555466661;0,00720437737237534;1057;
-0,0154999999999999;EURUSD;912;SSIStrategy;0,26;0,21;True;4;-0,0150999999999999;-0,0210999999999999;0,75;0,5;-0,00377499999999997;-0,000397368421052629;0,105263157894737;0,5;-0,0172;0,00965000000000005;-0,00377499999999997;0,00365000000000004;0,00109999999999999;0,0136929498282876;13304;
-1,15519999999999;GBPUSD;912;SSIStrategy;0,18;0,37;True;7707;-0,384499999999989;-0,387099999999988;1;0,00415206954716492;-4,98897106526519E-05;-0,0101184210526313;202,815789473684;0,428571428571429;-0,000111190781049933;0,00155312499999998;-9,76631953263877E-05;0,00291064687558882;0,000425102522203379;0,000520032653035084;5;
-0,227400000000002;EURUSD;912;SSIStrategy;0,2;0,25;False;1658;-0,0616000000000017;-0,111300000000002;0,999396863691194;0,00180940892641737;-3,71531966224377E-05;-0,00162105263157899;43,6315789473684;0,333333333333333;-0,000131235431235433;0,017;-7,15447154471564E-05;0,0231224277848731;0,000646924668970595;0,00181630019389472;38;
-0,728300000000022;USDCHF;912;SSIStrategy;0,05;0,3;True;3736;-0,354700000000022;-0,384600000000022;1;0,00588865096359743;-9,49411134903699E-05;-0,00933421052631636;98,3157894736842;0,636363636363636;-0,000131604857236633;0,00210454545454544;-0,000115575105897694;0,00290993240670127;0,000185533984184044;0,000361198680483954;7;
0,0357000000000001;EURUSD;912;SSIStrategy;0,46;0,16;False;1;0,0358000000000001;0;0;1;0,0358000000000001;0,000942105263157896;0,0263157894736842;1;n. def.;0,0358000000000001;0,0358000000000001;0;n. def.;0;11590;
-0,0472999999999999;GBPUSD;912;SSIStrategy;0,38;0,14;False;4;-0,0468999999999999;-0,0468999999999999;0,5;0,25;-0,011725;-0,00123421052631579;0,105263157894737;0;-0,0176333333333333;0,00600000000000001;-0,011725;0;0,00111455023315331;0,0102789530108859;4907;
